Name,Date,N-1_Date,N-2_DATE,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_09:00_Open,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_09:30_Open_Minus_N-1_EOD_Close,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_EOD_Close_Minus_N-2_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_N-1_Close,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N_DAY_MAX_GRT_N-1_DAY_MAX,N_DAY_MIN_LT_N-1_DAY_MIN
ACC,20190313,20190312,20190311,-1.161,-1.986,0.097,-0.718,0.303,-0.876,0.255,-0.2,0.558,0.019,0.329,-0.221,0.698,-0.137,0.738,-0.227,0.031,-0.292,0.137,-0.14,0.003,-0.34,0.072,-0.69,0.252,-0.103,0.24,-0.345,0.094,-0.554,-0.581,0.097,-0.718,-1.259,0.022,2.56,1.408,-1.259,1.761,0.693,-0.114,0.492,-0.867,0.856,0.086,0.718,-0.003,0.069,-0.31,0.035,-0.339,0.334,-0.184,0.233,-0.158,0.474,-0.035,0.113,-0.331,0.526,-0.079,0.156,-0.409,1.193,-0.019,-1.712,-0.514,-0.571,0.559,-1.686,0.559,-1.686,0.26,-0.553,0.721,-1.52,0.721,-1.52,0.496,-1.75,0.496,-1.75,0,1
ACC,20190314,20190313,20190312,-158885,-158885,-157040,-157040,0.26,-0.553,0.496,-0.368,-0.154,-1.01,0.617,0.032,0.076,-0.636,0.152,-0.127,0.197,-0.201,0.111,-0.316,0.26,-0.118,0.63,-0.077,0.118,-0.191,0.416,-0.121,0.193,-0.338,-1.403,-157040,-157040,-1.129,98.777,-1.161,-1.986,-1.174,-1.259,0.303,-0.876,0.255,-0.2,0.558,0.019,0.329,-0.221,0.698,-0.137,0.738,-0.227,0.031,-0.292,0.137,-0.14,0.003,-0.34,0.072,-0.69,0.252,-0.103,0.24,-0.345,0.094,-0.554,0.578,0.163,0.022,-157040,-157040,-157040,-157040,0,0,0,0,0,0,0,0,0,0,0,1
ADANIENT,20190313,20190312,20190311,5.389,3.404,0.034,-2.063,0.461,-0.286,0.775,-0.178,0.841,-0.212,0.628,-0.246,1.649,-0.105,1.132,-0.558,0.45,-0.139,0.449,-0.139,1.697,-0.104,2.067,-0.068,0.805,0.034,1.327,-0.168,0.167,-1.356,5.054,0.034,-2.063,5.357,-0.498,2.339,1.607,5.357,0.899,1.431,-0.145,0.465,-0.288,0.821,-0.144,0.179,-0.216,1.1,-0.108,0.142,-0.393,0.071,-0.61,0.498,-0.036,0.107,-0.25,0,-1.083,0.287,-0.288,0.286,-0.324,-0.143,-0.648,0.144,-0.934,-1.007,1.33,-2.063,1.33,-2.063,0.034,-2.063,1.33,-2.063,1.33,-2.063,1.596,-1.3,1.596,-1.3,0,0
ADANIENT,20190314,20190313,20190312,-14740,-14740,-14635,-14635,0.034,-2.063,1.596,-0.034,-0.169,-1.469,0.974,-0.443,0.101,-0.475,0.135,-0.408,0.237,-0.409,0.407,-0.445,0.441,-0.205,0.442,0,0.068,-0.273,1.18,0,0.708,-0.443,-0.441,-14635,-14635,-0.678,98.619,5.389,3.404,-0.713,5.357,0.461,-0.286,0.775,-0.178,0.841,-0.212,0.628,-0.246,1.649,-0.105,1.132,-0.558,0.45,-0.139,0.449,-0.139,1.697,-0.104,2.067,-0.068,0.805,0.034,1.327,-0.168,0.167,-1.356,-5.323,0,-0.474,-14635,-14635,-14635,-14635,0,0,0,0,0,0,0,0,0,0,0,1
ADANIPORTS,20190313,20190312,20190311,3.02,1.733,0.414,-0.908,2.116,0,0.238,-1.091,0.393,-0.183,0.336,-0.409,1.906,0.028,0.945,-0.041,0.151,-0.638,0.249,-0.403,0.318,-0.362,0.262,-0.25,0.29,-0.014,0.124,-0.249,0.262,-0.681,1.205,0.414,-0.908,2.617,-0.114,4.44,2.375,2.617,2.291,1.081,-0.321,0.316,-0.318,0.944,-0.029,0.315,-0.072,0.072,-0.432,0.358,0.029,0.229,-0.302,0.043,-0.259,0.4,-0.029,0.342,-0.143,0.214,-0.287,0.257,-0.014,0.779,-0.029,-1.312,0,-0.085,1.621,-0.908,1.621,-0.908,0.303,-1.02,1.512,-1.02,1.512,-1.02,1.608,-0.264,1.608,-0.264,1,0
ADANIPORTS,20190314,20190313,20190312,-36045,-36045,-36615,-36615,0.303,-1.02,1.204,-0.264,-0.11,-0.87,0.437,-0.247,0.272,-0.205,0.014,-0.494,0.192,-0.399,0.041,-0.482,0.342,-0.082,0.395,-0.247,0.014,-0.481,0.41,-0.124,1.029,-0.096,1.648,-36615,-36615,1.552,100.913,3.02,1.733,1.552,2.617,2.116,0,0.238,-1.091,0.393,-0.183,0.336,-0.409,1.906,0.028,0.945,-0.041,0.151,-0.638,0.249,-0.403,0.318,-0.362,0.262,-0.25,0.29,-0.014,0.124,-0.249,0.262,-0.681,-1.22,-0.111,-0.111,-36615,-36615,-36615,-36615,0,0,0,0,0,0,0,0,0,0,0,1
AMBUJACEM,20190313,20190312,20190311,0.107,-0.71,0.427,-0.388,0.637,-0.279,0.256,-0.473,0.489,0.064,0.276,-0.278,0.466,-0.128,0.738,-0.149,0.085,-0.341,0.106,-0.321,0.064,-0.364,0.192,-0.321,0.043,-0.235,0.277,-0.257,0.107,-0.624,-0.3,0.427,-0.388,-0.322,-0.214,3.696,2.808,-0.322,2.829,0.809,-0.11,0.721,-0.132,0.699,-0.044,0.479,0.066,0.585,-0.087,0.13,-0.502,0.497,0,0.087,-0.152,0.065,0,0,-0.13,0.645,-0.087,0.535,-0.108,1.065,-0.086,-2.662,-0.257,-0.559,1.04,-1.216,1.04,-1.303,0.214,-0.603,0.828,-1.433,0.828,-1.521,0.615,-1.65,0.615,-1.738,0,1
AMBUJACEM,20190314,20190313,20190312,-23265,-23265,-22880,-22880,0.214,-0.603,0.615,-0.214,-0.171,-1.101,0.621,-0.065,0.043,-0.692,0.065,-0.26,0.086,-0.173,0.13,-0.26,-0.022,-0.478,0.346,-0.022,0.065,-0.304,0.043,-0.261,0,-0.875,-1.893,-22880,-22880,-1.675,97.924,0.107,-0.71,-1.675,-0.322,0.637,-0.279,0.256,-0.473,0.489,0.064,0.276,-0.278,0.466,-0.128,0.738,-0.149,0.085,-0.341,0.106,-0.321,0.064,-0.364,0.192,-0.321,0.043,-0.235,0.277,-0.257,0.107,-0.624,0.299,-0.214,-0.214,-22880,-22880,-22880,-22880,0,0,0,0,0,0,0,0,0,0,0,1
ARVIND,20190313,20190312,20190311,5.813,2.967,0.427,-2.582,0.731,-0.627,-0.227,-0.974,-0.115,-1.628,0.345,-0.173,0.687,-0.289,0.286,-0.634,0.23,-0.289,0.173,-0.231,0.172,-0.173,0.172,-0.231,5.742,-0.058,3.287,-0.941,1.066,-0.108,5.57,0.427,-2.582,5.41,-0.057,4.89,3.59,5.41,3.204,1.571,0,1.107,-0.533,1.562,-0.059,0,-0.818,0.175,-0.41,0.291,-0.234,0.464,-0.117,0.978,0,0.915,-0.174,0.571,-0.173,0.854,-0.288,0.227,-0.515,0.341,-0.517,-3.005,-0.799,-1.03,0.427,-3.263,0.427,-3.263,0.373,-2.637,0.373,-3.319,0.373,-3.319,1.398,-1.438,1.398,-1.438,0,0
ARVIND,20190314,20190313,20190312,-9240,-9240,-9120,-9120,0.373,-2.637,1.079,0,-0.054,-1.213,1.505,-0.494,0.701,-0.601,0.326,-0.219,-0.055,-1.493,0.602,-0.276,0.329,-0.11,0.109,-0.44,0.219,-0.607,1.407,-0.11,1.022,-0.492,0.542,-9120,-9120,-1.137,97.645,5.813,2.967,-1.302,5.41,0.731,-0.627,-0.227,-0.974,-0.115,-1.628,0.345,-0.173,0.687,-0.289,0.286,-0.634,0.23,-0.289,0.173,-0.231,0.172,-0.173,0.172,-0.231,5.742,-0.058,3.287,-0.941,1.066,-0.108,-5.899,-0.054,-0.054,-9120,-9120,-9120,-9120,0,0,0,0,0,0,0,0,0,0,0,1
ASHOKLEY,20190313,20190312,20190311,-0.749,-2.391,0.588,-1.033,0.998,0,0.733,-0.264,0.105,-0.105,0.105,-0.635,0.315,-0.851,0.318,-0.642,0.053,-0.859,0.16,-0.647,0.321,-0.107,0.161,-0.161,0.85,0,0.16,-0.321,0,-1.134,-1.99,0.588,-1.033,-1.345,-0.212,4.677,3.715,-1.345,2.526,1.144,-0.666,0.435,-0.274,0.921,0.273,0.054,-0.327,0.163,-0.164,0.217,-0.054,0.109,-0.163,0.109,-0.109,0.217,-0.218,0.271,-0.163,0.325,-0.054,0.162,-0.109,1.389,-0.054,-1.583,-0.857,-1.236,0.588,-1.033,0.853,-1.033,0.428,-1.196,0.428,-1.196,0.693,-1.196,0.268,-1.087,0.8,-1.087,0,1
ASHOKLEY,20190314,20190313,20190312,-9210,-9210,-9280,-9280,0.428,-1.196,0.268,-0.486,0,-0.707,0.644,-0.216,0.43,-0.108,0.322,-0.054,0.269,-0.162,0.269,-0.27,0.108,-0.216,0.643,-0.054,0.587,-0.215,0.427,-0.215,1.006,-0.161,0.853,-9280,-9280,1.168,99.678,-0.749,-2.391,0.746,-1.345,0.998,0,0.733,-0.264,0.105,-0.105,0.105,-0.635,0.315,-0.851,0.318,-0.642,0.053,-0.859,0.16,-0.647,0.321,-0.107,0.161,-0.161,0.85,0,0.16,-0.321,0,-1.134,1.951,-0.161,-0.215,-9280,-9280,-9280,-9280,0,0,0,0,0,0,0,0,0,0,0,1
ASIANPAINT,20190313,20190312,20190311,1.12,-0.014,0.64,-0.5,0.858,0,0.959,-0.021,0.287,-0.024,0.01,-0.417,-0.01,-0.223,-0.017,-0.563,0.003,-0.133,0.003,-0.137,0.024,-0.112,0.073,-0.256,0.014,-0.07,0.021,-0.084,0,-0.351,-0.137,0.64,-0.5,0.483,-0.644,3.104,2.266,0.483,2.169,0.43,-0.289,0.366,-0.047,0.415,-0.166,0.115,-0.039,0,-0.144,0.304,-0.18,0.816,0.007,0.163,-0.285,0.284,-0.004,0.167,-0.135,1.009,0.057,0.211,-0.187,0.225,-0.336,-2.309,-0.099,-0.099,0.64,-0.783,0.64,-0.783,0.003,-1.144,0.003,-1.429,0.003,-1.429,0.489,-0.61,0.489,-0.61,0,1
ASIANPAINT,20190314,20190313,20190312,-143625,-143625,-142730,-142730,0.003,-1.144,0.489,-0.207,0.164,-0.091,0.017,-0.196,0.052,-0.246,0.011,-0.221,0,-0.112,0.077,-0.098,0.088,-0.37,0.232,-0.131,0.126,-0.127,0.622,-0.028,0.304,-0.042,0.186,-142730,-142730,-0.627,99.308,1.12,-0.014,-0.627,0.483,0.858,0,0.959,-0.021,0.287,-0.024,0.01,-0.417,-0.01,-0.223,-0.017,-0.563,0.003,-0.133,0.003,-0.137,0.024,-0.112,0.073,-0.256,0.014,-0.07,0.021,-0.084,0,-0.351,0.136,-0.641,-0.641,-142730,-142730,-142730,-142730,0,0,0,0,0,0,0,0,0,0,0,1
AUROPHARMA,20190313,20190312,20190311,2.616,-0.331,0.604,-2.404,0.059,-1.528,0.107,-0.882,2.601,-0.114,2.157,0.242,1.094,0.006,0,-0.97,0.071,-0.453,0.385,-0.116,0.039,-0.589,0.019,-0.479,0.11,-0.467,0.38,-0.084,0.045,-0.708,3.084,0.604,-2.404,2.308,-0.297,2.493,0.945,2.024,1.545,1.024,-0.292,0.474,-0.195,0.392,-0.094,0.127,-0.268,0.354,-0.195,0.06,-0.261,0.007,-0.302,0.32,-0.134,0.22,-0.094,0.08,-0.308,0.233,-0.221,0.127,-0.073,0.352,-0.274,-0.711,-0.691,-0.912,1.233,-2.404,1.233,-2.404,0.315,-2.702,0.945,-2.702,0.945,-2.702,1.035,-1.407,1.035,-1.666,0,0
AUROPHARMA,20190314,20190313,20190312,-77450,-77450,-76525,-76525,0.315,-2.702,1.035,-0.058,0.334,-0.766,0.373,-0.207,0.168,-0.912,-0.033,-0.582,0.085,-0.242,0.241,-0.013,0.666,-0.143,0.129,-0.26,0.259,-0.052,0.039,-1.115,0.292,-0.524,-1.116,-76525,-76525,-1.108,98.678,2.616,-0.331,-1.207,2.024,0.059,-1.528,0.107,-0.882,2.601,-0.114,2.157,0.242,1.094,0.006,0,-0.97,0.071,-0.453,0.385,-0.116,0.039,-0.589,0.019,-0.479,0.11,-0.467,0.38,-0.084,0.045,-0.708,-3.183,0,-0.291,-76525,-76525,-76525,-76525,0,0,0,0,0,0,0,0,0,0,0,1
AXISBANK,20190313,20190312,20190311,0.793,-0.007,0.255,-0.548,0.458,0,0.276,-0.21,0.802,0.04,0.374,0.007,0.027,-0.336,0.221,-0.255,0.02,-0.242,0.027,-0.236,-0.04,-0.256,0.007,-0.223,0.195,-0.088,0.047,-0.047,0.007,-0.196,0.162,0.255,-0.548,0.545,-0.142,1.166,0.711,0.539,0.163,1.372,-0.246,-0.013,-0.351,0.403,-0.054,0.081,-0.283,0.235,-0.094,0.088,-0.338,0.142,-0.278,0.007,-0.257,0.182,-0.169,0.02,-0.517,0.041,-0.76,0.163,-0.273,0.265,-0.116,1.157,-0.265,-0.551,1.125,-0.548,1.125,-0.548,0.114,-0.691,0.985,-0.691,0.985,-0.691,1.378,-0.223,1.378,-0.223,1,1
AXISBANK,20190314,20190313,20190312,-74260,-74260,-73700,-73700,0.114,-0.691,1.378,0.081,-0.053,-0.998,0.262,-0.175,0.235,-0.162,0.034,-0.223,0.027,-0.379,0.169,-0.081,0.229,-0.088,0.437,0,0.027,-0.27,0.182,-0.108,0.108,-0.692,-0.359,-73700,-73700,-0.725,99.112,0.793,-0.007,-0.759,0.539,0.458,0,0.276,-0.21,0.802,0.04,0.374,0.007,0.027,-0.336,0.221,-0.255,0.02,-0.242,0.027,-0.236,-0.04,-0.256,0.007,-0.223,0.195,-0.088,0.047,-0.047,0.007,-0.196,-0.162,-0.135,-0.141,-73700,-73700,-73700,-73700,0,0,0,0,0,0,0,0,0,0,0,1
BAJAJ-AUTO,20190313,20190312,20190311,0.237,-0.447,0.731,0.05,0.324,-0.3,0.153,-0.635,0.162,-0.463,0.317,-0.173,0.018,-0.197,0.133,-0.033,0.047,-0.1,0.359,-0.005,0.007,-0.384,0.102,-0.165,0.233,-0.033,0.118,-0.199,0.06,-0.274,-0.447,0.731,0.05,-0.497,-0.196,1.677,1.061,-0.497,1.013,0.494,-1.132,0.307,-0.195,0.157,-0.044,0.02,-0.331,0.264,0,0.134,-0.166,0.219,-0.064,0.333,0.023,0.128,-0.072,0.107,-0.025,0.392,-0.023,0.254,-0.145,0.043,-0.182,-0.561,-0.348,-0.367,1.677,0.05,1.677,0.05,0.535,-0.147,1.483,-0.147,1.483,-0.147,1.188,-0.166,1.188,-0.166,1,0
BAJAJ-AUTO,20190314,20190313,20190312,-300100,-300100,-300900,-300900,0.535,-0.147,0.282,-0.125,0.365,-0.231,0.402,-0.161,0.594,-0.01,0.242,-0.303,0.178,-0.066,0.076,-0.02,0.097,-0.002,0.499,-0.023,0.073,-0.746,0.526,-0.206,0.107,-1.074,-0.033,-300900,-300900,0.266,100.233,0.237,-0.447,0.266,-0.497,0.324,-0.3,0.153,-0.635,0.162,-0.463,0.317,-0.173,0.018,-0.197,0.133,-0.033,0.047,-0.1,0.359,-0.005,0.007,-0.384,0.102,-0.165,0.233,-0.033,0.118,-0.199,0.06,-0.274,0.445,-0.197,-0.197,-300900,-300900,-300900,-300900,0,0,0,0,0,0,0,0,0,0,0,1
BAJFINANCE,20190313,20190312,20190311,-1.56,-2.221,0.495,-0.153,0.24,-0.354,0.132,-0.388,0.057,-0.196,0.219,-0.094,-0.005,-0.677,0.162,-0.186,0.15,-0.672,0.036,-0.492,0.146,-0.193,0.23,-0.253,0.069,-0.108,0.135,-0.537,0.002,-0.528,-2.023,0.495,-0.153,-2.065,-0.32,1.688,1.104,-2.065,0.786,0.838,0,0.413,-0.286,0.32,0.023,0.216,-0.047,0.179,-0.122,0.121,-0.143,0.417,-0.109,-0.021,-0.263,-0.107,-0.407,0.143,-0.357,0.222,-0.315,0.189,-0.152,0.068,-0.363,-0.093,-0.675,-0.677,2.027,-0.153,2.674,-0.153,0.172,-0.478,1.708,-0.478,2.358,-0.478,2.093,0.071,2.74,0.071,1,0
BAJFINANCE,20190314,20190313,20190312,-276100,-276100,-282715,-282715,0.172,-0.478,1.178,0.071,0.072,-0.379,0.668,-0.013,0.002,-0.327,0.208,0.011,0.302,-0.271,0.482,-0.047,0.011,-0.577,0.218,-0.068,0.289,-0.036,0.962,-0.141,0.573,-0.215,2.721,-282715,-282715,2.472,102.359,-1.56,-2.221,2.339,-2.065,0.24,-0.354,0.132,-0.388,0.057,-0.196,0.219,-0.094,-0.005,-0.677,0.162,-0.186,0.15,-0.672,0.036,-0.492,0.146,-0.193,0.23,-0.253,0.069,-0.108,0.135,-0.537,0.002,-0.528,1.983,-0.325,-0.327,-282715,-282715,-282715,-282715,0,0,0,0,0,0,0,0,0,0,0,1
BANKBARODA,20190313,20190312,20190311,-1.387,-2.274,0,-0.875,0.722,-0.3,0,-0.603,0.299,-0.56,0.599,-0.172,-0.043,-0.689,0,-1.485,0.347,-0.349,0.476,-0.043,0.602,-0.13,0.602,-0.13,-0.043,-0.65,0.259,-0.043,0.043,-0.871,-1.257,0,-0.875,-1.387,-0.257,2.971,1.973,-1.387,1.508,0.867,-0.044,1.539,-0.043,0.768,-0.129,0.171,-0.301,0.214,-0.388,0.727,0,0.086,-0.301,0.129,-0.215,0.428,-0.388,0.257,-0.474,0.043,-0.606,0.429,-0.216,0.215,-0.389,-0.782,-0.645,-0.776,0.259,-1.585,1.955,-1.585,0,-0.875,0.259,-1.585,1.955,-1.585,0.821,-1.013,2.507,-1.013,0,1
BANKBARODA,20190314,20190313,20190312,-11435,-11435,-11455,-11455,0,-0.875,0.821,-0.044,-0.087,-1.233,0.611,-0.308,0.306,-0.307,0.175,-0.176,-0.044,-0.352,0.219,-0.264,0.568,-0.044,2.39,-0.044,1.062,-0.431,-0.172,-0.867,0.602,-0.347,0.736,-11455,-11455,0.173,99.22,-1.387,-2.274,0.173,-1.387,0.722,-0.3,0,-0.603,0.299,-0.56,0.599,-0.172,-0.043,-0.689,0,-1.485,0.347,-0.349,0.476,-0.043,0.602,-0.13,0.602,-0.13,-0.043,-0.65,0.259,-0.043,0.043,-0.871,1.241,0,-0.261,-11455,-11455,-11455,-11455,0,0,0,0,0,0,0,0,0,0,0,1
BANKINDIA,20190313,20190312,20190311,-1.351,-2.74,0.054,-1.315,0.794,-0.375,0.107,-0.59,0.053,-0.754,0.268,-0.27,-0.054,-0.976,0.323,-0.762,0.217,-0.547,0.486,-0.218,1.017,-0.108,0.376,-0.815,0.054,-0.432,0.323,-0.108,0,-1.144,-1.352,0.054,-1.315,-1.406,-0.267,6.085,4.979,-1.406,3.794,1.879,0,0.768,-0.055,1.415,0.055,-0.055,-0.882,0.219,-0.607,0.165,-0.834,0.384,-0.276,0.656,0,0.763,-0.11,0.546,-0.275,0.546,-0.11,1.028,-0.164,0.647,-0.272,-2.046,-1.626,-1.792,0.216,-2.155,1.017,-2.155,0.27,-1.096,0.432,-1.934,1.231,-1.934,0.971,-1.381,1.767,-1.381,0,1
