Name,Date,N-1_Date,N-2_DATE,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_09:00_Open,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_09:30_Open_Minus_N-1_EOD_Close,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_EOD_Close_Minus_N-2_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_N-1_Close,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N_DAY_MAX_GRT_N-1_DAY_MAX,N_DAY_MIN_LT_N-1_DAY_MIN
ACC,20190312,20190311,20190308,2.56,1.408,0.813,-0.36,0.693,-0.114,0.492,-0.867,0.856,0.086,0.718,-0.003,0.069,-0.31,0.035,-0.339,0.334,-0.184,0.233,-0.158,0.474,-0.035,0.113,-0.331,0.526,-0.079,0.156,-0.409,1.193,-0.019,1.683,0.813,-0.36,1.761,-0.581,2.007,1.21,1.761,1.232,0.502,-0.657,0.504,-0.202,0.335,-0.112,0.236,-0.247,0.5,-0.157,0.213,-0.429,0.344,-0.032,0.429,-0.122,0.325,-0.048,0.245,-0.285,0.43,0.029,0.21,-0.022,0.873,0.006,-0.939,-0.092,-0.092,1.389,-0.58,1.389,-0.675,0.303,-0.876,0.882,-1.097,0.882,-1.192,1.546,-0.42,1.546,-0.515,1,0
ACC,20190313,20190312,20190311,-161150,-161150,-159145,-159145,0.303,-0.876,0.255,-0.2,0.558,0.019,0.329,-0.221,0.698,-0.137,0.738,-0.227,0.031,-0.292,0.137,-0.14,0.003,-0.34,0.072,-0.69,0.252,-0.103,0.24,-0.345,0.094,-0.554,-0.581,-159145,-159145,-1.259,98.555,2.56,1.408,-1.259,1.761,0.693,-0.114,0.492,-0.867,0.856,0.086,0.718,-0.003,0.069,-0.31,0.035,-0.339,0.334,-0.184,0.233,-0.158,0.474,-0.035,0.113,-0.331,0.526,-0.079,0.156,-0.409,1.193,-0.019,-1.712,-0.514,-0.571,-159145,-159145,-159145,-159145,0,0,0,0,0,0,0,0,0,0,0,1
ADANIENT,20190313,20190312,20190311,-13945,-13945,-14740,-14740,0.461,-0.286,0.775,-0.178,0.841,-0.212,0.628,-0.246,1.649,-0.105,1.132,-0.558,0.45,-0.139,0.449,-0.139,1.697,-0.104,2.067,-0.068,0.805,0.034,1.327,-0.168,0.167,-1.356,5.054,-14740,-14740,5.357,104.45,2.339,1.607,5.357,0.899,1.431,-0.145,0.465,-0.288,0.821,-0.144,0.179,-0.216,1.1,-0.108,0.142,-0.393,0.071,-0.61,0.498,-0.036,0.107,-0.25,0,-1.083,0.287,-0.288,0.286,-0.324,-0.143,-0.648,0.144,-0.934,-1.007,-14740,-14740,-14740,-14740,0,0,0,0,0,0,0,0,0,0,0,1
ADANIPORTS,20190312,20190311,20190308,4.44,2.375,2.199,0.085,1.081,-0.321,0.316,-0.318,0.944,-0.029,0.315,-0.072,0.072,-0.432,0.358,0.029,0.229,-0.302,0.043,-0.259,0.4,-0.029,0.342,-0.143,0.214,-0.287,0.257,-0.014,0.779,-0.029,1.295,2.199,0.085,2.375,-0.087,1.744,0.351,2.291,0.351,0.583,-0.575,0.146,-0.649,0.644,0.059,0.118,-0.532,0.44,-0.281,0.088,-0.31,0.279,-0.118,0.22,-0.044,-0.044,-0.295,0.162,-0.103,0.643,0.029,0.293,-0.088,0.408,-0.088,-0.249,-0.321,-0.321,3.793,0.085,3.793,0.085,2.116,0,3.711,0,3.711,0,2.314,-1.091,2.314,-1.091,1,0
ADANIPORTS,20190313,20190312,20190311,-35060,-35060,-36005,-36005,2.116,0,0.238,-1.091,0.393,-0.183,0.336,-0.409,1.906,0.028,0.945,-0.041,0.151,-0.638,0.249,-0.403,0.318,-0.362,0.262,-0.25,0.29,-0.014,0.124,-0.249,0.262,-0.681,1.205,-36005,-36005,2.617,102.403,4.44,2.375,2.617,2.291,1.081,-0.321,0.316,-0.318,0.944,-0.029,0.315,-0.072,0.072,-0.432,0.358,0.029,0.229,-0.302,0.043,-0.259,0.4,-0.029,0.342,-0.143,0.214,-0.287,0.257,-0.014,0.779,-0.029,-1.312,0,-0.085,-36005,-36005,-36005,-36005,0,0,0,0,0,0,0,0,0,0,0,1
AMBUJACEM,20190312,20190311,20190308,3.696,2.808,0.892,-0.021,0.809,-0.11,0.721,-0.132,0.699,-0.044,0.479,0.066,0.585,-0.087,0.13,-0.502,0.497,0,0.087,-0.152,0.065,0,0,-0.13,0.645,-0.087,0.535,-0.108,1.065,-0.086,2.593,0.892,-0.021,2.829,-0.573,3.5,2.605,2.829,2.476,1.099,0,0.648,-0.316,0.112,-0.36,0.045,-0.157,0.313,-0.135,0.156,-0.09,0.267,-0.045,0.201,-0.067,0.444,-0.067,0.223,-0.268,0.312,-0.045,0.333,-0.089,1.035,0.022,-1.686,-0.243,-0.243,1.603,-0.236,1.603,-0.236,0.637,-0.279,1.35,-0.494,1.35,-0.494,1.371,-0.473,1.371,-0.473,1,0
AMBUJACEM,20190313,20190312,20190311,-23290,-23290,-23215,-23215,0.637,-0.279,0.256,-0.473,0.489,0.064,0.276,-0.278,0.466,-0.128,0.738,-0.149,0.085,-0.341,0.106,-0.321,0.064,-0.364,0.192,-0.321,0.043,-0.235,0.277,-0.257,0.107,-0.624,-0.3,-23215,-23215,-0.322,99.252,3.696,2.808,-0.322,2.829,0.809,-0.11,0.721,-0.132,0.699,-0.044,0.479,0.066,0.585,-0.087,0.13,-0.502,0.497,0,0.087,-0.152,0.065,0,0,-0.13,0.645,-0.087,0.535,-0.108,1.065,-0.086,-2.662,-0.257,-0.559,-23215,-23215,-23215,-23215,0,0,0,0,0,0,0,0,0,0,0,1
ARVIND,20190312,20190311,20190308,4.89,3.59,1.743,0.399,1.571,0,1.107,-0.533,1.562,-0.059,0,-0.818,0.175,-0.41,0.291,-0.234,0.464,-0.117,0.978,0,0.915,-0.174,0.571,-0.173,0.854,-0.288,0.227,-0.515,0.341,-0.517,2.918,1.743,0.399,3.425,-1.064,-3.781,-5.437,3.204,-6.254,0.224,-3.002,0.571,-2.712,0.347,-2.072,0.643,-1.312,0.412,-1.137,0.236,-0.594,0.059,-0.595,0.178,-0.179,0.591,-0.478,0.296,-0.838,0.594,-1.21,-0.3,-1.148,1.418,-0.12,3.617,-0.475,-0.774,1.743,-1.628,7.317,-1.628,0.731,-0.627,0.731,-2.674,6.363,-2.674,-0.227,-2.5,6.522,-2.5,1,0
ARVIND,20190313,20190312,20190311,-8730,-8730,-9235,-9235,0.731,-0.627,-0.227,-0.974,-0.115,-1.628,0.345,-0.173,0.687,-0.289,0.286,-0.634,0.23,-0.289,0.173,-0.231,0.172,-0.173,0.172,-0.231,5.742,-0.058,3.287,-0.941,1.066,-0.108,5.57,-9235,-9235,5.41,104.587,4.89,3.59,5.41,3.204,1.571,0,1.107,-0.533,1.562,-0.059,0,-0.818,0.175,-0.41,0.291,-0.234,0.464,-0.117,0.978,0,0.915,-0.174,0.571,-0.173,0.854,-0.288,0.227,-0.515,0.341,-0.517,-3.005,-0.799,-1.03,-9235,-9235,-9235,-9235,0,0,0,0,0,0,0,0,0,0,0,1
ASHOKLEY,20190312,20190311,20190308,4.677,3.715,2.207,1.221,1.144,-0.666,0.435,-0.274,0.921,0.273,0.054,-0.327,0.163,-0.164,0.217,-0.054,0.109,-0.163,0.109,-0.109,0.217,-0.218,0.271,-0.163,0.325,-0.054,0.162,-0.109,1.389,-0.054,1.558,2.207,1.221,2.891,-1.268,1.199,-0.61,2.526,-1.115,0.33,-0.722,0.276,-0.837,0.388,-0.504,0,-0.391,0.554,-0.056,0.111,-0.334,1.154,-0.335,0.111,-0.39,0.167,-0.167,0.222,-0.335,0.223,-0.056,0.444,0,0.444,-0.336,0.83,-1.002,-1.171,2.565,-0.269,2.565,-0.269,0.998,0,1.361,-1.509,1.361,-1.509,0.733,-2.155,0.733,-2.155,1,0
