Name,Date,N-1_Date,N-2_DATE,N_09:30_MAX_MINUS_N-1_09:00_Open,N_09:30_Min_MINUS_N-1_09:00_Open,N-1_Close_Minus_N_09:00_To_09:30_Max,N-1_Close_Minus_N_09:00_To_09:30_Min_,N-1_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-1_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-1_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-1_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-1_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-1_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-1_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-1_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-1_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-1_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-1_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-1_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-1_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-1_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-1_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-1_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-1_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-1_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-1_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-1_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-1_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-1_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-1_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-1_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-1_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-1_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-1_09:30_Open_Minus_N-1_EOD_Close,N_09:30_MAX_MINUS_N-1_EOD_CLOSE,N_09:30_Min_MINUS_N-1_EOD_CLOSE,N-1_15:30_To_EOD_MAX_MINUS_N_09:00_OPEN,N-1_15:30_To_EOD_MIN_MINUS_N_09:00_OPEN,N-1_09:00_To_09:30_Max_Minus_N-2_09:00_Open,N-1_09:00_To_09:30_Min_Minus_N-2_09:00_Open,N-1_EOD_Close_Minus_N-1_09:00_Open,N-2_EOD_Close_Minus_N-2_09:00_Open,N-2_09:00_To_09:30_MAX_MINUS_09:00_OPEN,N-2_09:00_To_09:30_MIN_MINUS_09:00_OPEN,N-2_09:30_To_10:00_MAX_MINUS_09:30_OPEN,N-2_09:30_To_10:00_MIN_MINUS_09:30_OPEN,N-2_10:00_To_10:30_MAX_MINUS_10:00_OPEN,N-2_10:00_To_10:30_MIN_MINUS_10:00_OPEN,N-2_10:30_To_11:00_MAX_MINUS_10:30_OPEN,N-2_10:30_To_11:00_MIN_MINUS_10:30_OPEN,N-2_11:00_To_11:30_MAX_MINUS_11:00_OPEN,N-2_11:00_To_11:30_MIN_MINUS_11:00_OPEN,N-2_11:30_To_12:00_MAX_MINUS_11:30_OPEN,N-2_11:30_To_12:00_MIN_MINUS_11:30_OPEN,N-2_12:00_To_12:30_MAX_MINUS_12:00_OPEN,N-2_12:00_To_12:30_MIN_MINUS_12:00_OPEN,N-2_12:30_To_13:00_MAX_MINUS_12:30_OPEN,N-2_12:30_To_13:00_MIN_MINUS_12:30_OPEN,N-2_13:00_To_13:30_MAX_MINUS_13:00_OPEN,N-2_13:00_To_13:30_MIN_MINUS_13:00_OPEN,N-2_13:30_To_14:00_MAX_MINUS_13:30_OPEN,N-2_13:30_To_14:00_MIN_MINUS_13:30_OPEN,N-2_14:00_To_14:30_MAX_MINUS_14:00_OPEN,N-2_14:00_To_14:30_MIN_MINUS_14:00_OPEN,N-2_14:30_To_15:00_MAX_MINUS_14:30_OPEN,N-2_14:30_To_15:00_MIN_MINUS_14:30_OPEN,N-2_15:00_To_15:30_MAX_MINUS_15:00_OPEN,N-2_15:00_To_15:30_MIN_MINUS_15:00_OPEN,N-2_09:30_Open_Minus_N-2_EOD_Close,N-2_15:30_To_EOD_MAX_MINUS_N-1_09:00_OPEN,N-2_15:30_To_EOD_MIN_MINUS_N-1_09:00_OPEN,N_09:00_To_13:45_Max_Minus_N-1_Close,N_09:00_To_13:45_Min_Minus_N-1_Close,N-1_Close_Minus_N_09:00_To_15:00_Max,N-1_Close_Minus_N_09:00_To_15:00_Min_,N_09:00_To_09:30_Max_Minus_09:00_Open,N_09:00_To_09:30_Min_Minus_09:00_Open,N_09:00_To_13:45_Max_Minus_09:00_Open,N_09:00_To_13:45_Min_Minus_09:00_Open,N_09:00_To_15:00_Max_Minus_09:00_Open,N_09:00_To_15:00_Min_Minus_09:00_Open,N_09:30_To_13:45_Max_Minus_N_09:30_Open,N_09:30_To_13:45_Min_Minus_N_09:30_Open,N_09:30_To_15:00_Max_Minus_N_09:30_Open,N_09:30_To_15:00_Min_Minus_N_09:30_Open,N_DAY_MAX_GRT_N-1_DAY_MAX,N_DAY_MIN_LT_N-1_DAY_MIN
RELCAPITAL,20190314,20190313,20190312,0,-2.052,0.661,-1.377,0.474,-0.935,0.632,-0.426,0.45,-0.75,1.313,-0.267,0.29,-0.479,0.186,-0.213,0.159,-0.267,0.212,-0.08,0.344,-0.186,0.659,-0.053,0.159,-0.694,0.424,-0.213,0.292,-0.509,-0.559,0.661,-1.377,-0.666,-0.556,-1.632,-3.071,-0.666,-1.579,0.771,-1.047,1.489,-0.314,0.232,-0.625,0.182,-0.182,0.078,-0.549,0.261,-0.631,2.408,-0.528,0.39,-0.052,0.13,-0.34,0.364,-0.131,0.078,-0.418,0.519,-0.131,0.026,-2.021,0.938,0.526,-0.478,0.661,-7.717,0.661,-8.213,0.291,-1.755,0.291,-8.118,0.291,-8.617,-0.054,-6.483,-0.054,-6.974,0,1
RELCAPITAL,20190315,20190314,20190313,-18745,-18745,-17100,-17100,0.291,-1.755,-0.054,-2.175,-0.055,-3.719,0.498,-2.481,0.676,-1.147,0.452,-0.285,0.085,-0.946,0.482,-0.315,0.65,-0.143,0.085,-0.828,0.481,-0.199,0.057,-1.671,0.4,-2.291,-7.907,-17100,-17100,-9.564,90.103,0,-2.052,-9.564,-0.666,0.474,-0.935,0.632,-0.426,0.45,-0.75,1.313,-0.267,0.29,-0.479,0.186,-0.213,0.159,-0.267,0.212,-0.08,0.344,-0.186,0.659,-0.053,0.159,-0.694,0.424,-0.213,0.292,-0.509,0.556,-0.373,-0.56,-17100,-17100,-17100,-17100,0,0,0,0,0,0,0,0,0,0,0,1
RELIANCE,20190314,20190313,20190312,1.364,0.52,0.678,-0.171,1.618,-0.745,0.432,-0.015,0.019,-0.666,0.045,-0.44,0.187,-0.169,0.071,-0.124,0.049,-0.131,0.007,-0.079,0.6,-0.007,0.441,-0.093,0.115,-0.231,0.423,-0.093,0.385,-0.171,0.861,0.678,-0.171,0.815,-0.183,3.305,0.983,0.69,1.224,0.886,-0.061,0.087,-0.471,0.37,-0.217,0.496,-0.144,0.015,-0.427,0.29,-0.162,0.038,-0.417,0.128,-0.186,0.305,-0.042,-0.008,-0.383,0.437,-0.045,0.458,-0.049,0.367,0.026,-0.7,-0.499,-0.537,1.079,-0.171,1.079,-0.395,0.498,-0.353,0.899,-0.353,0.899,-0.577,0.547,-0.318,0.547,-0.935,1,0
RELIANCE,20190315,20190314,20190313,-134875,-134875,-134055,-134055,0.498,-0.353,0.547,-0.078,0.077,-0.392,0.254,-0.089,0.121,-0.07,0.092,-0.159,0.029,-0.27,0.229,-0.026,0.018,-0.367,0.188,-0.104,0.24,-0.148,0.007,-0.924,0.341,-0.621,-0.969,-134055,-134055,-0.611,99.167,1.364,0.52,-0.611,0.69,1.618,-0.745,0.432,-0.015,0.019,-0.666,0.045,-0.44,0.187,-0.169,0.071,-0.124,0.049,-0.131,0.007,-0.079,0.6,-0.007,0.441,-0.093,0.115,-0.231,0.423,-0.093,0.385,-0.171,-0.868,-0.056,-0.182,-134055,-134055,-134055,-134055,0,0,0,0,0,0,0,0,0,0,0,1
RELINFRA,20190314,20190313,20190312,-0.609,-2.203,1.218,-0.348,0,-1.614,0.943,-0.229,0.607,-0.73,0.834,-0.191,0.115,-0.038,0.153,-0.191,0.267,-0.115,0.229,-0.038,0.115,-0.191,0.833,-0.23,0.229,-1.317,0.499,-0.271,0.192,-0.464,-1.117,1.218,-0.348,-1.849,-0.303,-1.74,-3.382,-1.849,-2.476,0.921,-0.674,0.889,0,0.223,-0.524,0.037,-0.867,0.112,-0.263,0.263,-0.491,1.155,-0.075,0.262,-0.338,0.3,-0.038,0.075,-0.68,0.562,-0.189,0.374,0,-0.038,-3.333,1.906,-0.724,-1.342,1.218,-4.215,1.218,-4.215,1.065,-0.503,1.065,-4.376,1.065,-4.376,-0.193,-4.295,-0.193,-4.295,0,1
RELINFRA,20190315,20190314,20190313,-12900,-12900,-12400,-12400,1.065,-0.503,-0.193,-2.042,0.078,-2.759,0.856,-0.473,0.157,-2.128,0.356,-0.56,0.318,-0.401,0.518,-0.04,1.378,-0.08,0.315,-0.677,0.435,0.04,0.04,-0.76,0.476,-0.966,-3.92,-12400,-12400,-4,95.385,-0.609,-2.203,-4,-1.849,0,-1.614,0.943,-0.229,0.607,-0.73,0.834,-0.191,0.115,-0.038,0.153,-0.191,0.267,-0.115,0.229,-0.038,0.115,-0.191,0.833,-0.23,0.229,-1.317,0.499,-0.271,0.192,-0.464,1.105,-0.154,-0.309,-12400,-12400,-12400,-12400,0,0,0,0,0,0,0,0,0,0,0,1
RPOWER,20190314,20190313,20190312,-3.448,-5.263,0.862,-0.877,0.415,-2.128,0.422,-1.724,0.426,-0.429,0.847,-0.429,0,-0.427,0.426,0,0.847,-0.429,0.426,-0.429,0.426,-0.429,0.426,-0.429,0.851,-1.747,0.431,-0.873,0.862,-0.437,-2.609,0.862,-0.877,-4.348,-0.417,-0.415,-2.979,-4.348,-1.681,1.224,-0.415,0,-1.667,0,-0.833,0.415,-0.84,0.417,-0.42,0,-0.42,0.833,0,0,-0.418,1.24,-0.42,2.033,-0.417,0,-0.83,0,-0.833,0,-2.119,2.459,-0.84,-1.266,0.862,-7.477,0.862,-7.477,0.862,-0.877,0.862,-7.477,0.862,-7.477,0,-7.477,0,-7.477,0,1
RPOWER,20190315,20190314,20190313,-1050,-1050,-975,-975,0.862,-0.877,0,-6.481,0.448,-1.835,0.905,0,0,-1.376,0.452,-0.917,0,-2.336,1.818,-0.465,0.905,-0.459,0.452,-0.457,0.905,-0.459,0.452,-1.382,0,-2.347,-6.977,-975,-975,-6.481,84.783,-3.448,-5.263,-6.977,-4.348,0.415,-2.128,0.422,-1.724,0.426,-0.429,0.847,-0.429,0,-0.427,0.426,0,0.847,-0.429,0.426,-0.429,0.426,-0.429,0.426,-0.429,0.851,-1.747,0.431,-0.873,0.862,-0.437,2.542,0,-0.437,-975,-975,-975,-975,0,0,0,0,0,0,0,0,0,0,0,1
SAIL,20190314,20190313,20190312,-3.099,-4.373,1.127,-0.095,0,-2.33,0.552,-1.028,-0.093,-2.095,0.378,-0.765,0.475,-0.576,0.285,-0.191,0.095,-0.384,0.286,-0.192,0.57,-0.096,0.474,-0.191,0.378,-0.381,0.848,-0.19,0.189,-0.858,-2.659,1.127,-0.095,-4.274,-0.638,-1.548,-3.914,-4.274,-1.364,0.446,-0.814,0.895,-0.272,0.448,-0.361,0.358,-0.27,0.359,-0.09,0.538,-0.726,0.361,-0.272,0.09,-0.729,0.181,-0.273,0.272,-0.182,0.811,-0.365,0.717,-0.272,-0.09,-1.464,0.632,0.182,0.182,2.047,-2.035,2.047,-2.035,0.657,-0.57,1.581,-2.519,1.581,-2.519,1.023,-3.101,1.023,-3.101,0,1
SAIL,20190315,20190314,20190313,-5190,-5190,-5170,-5170,0.657,-0.57,1.023,-0.567,-0.187,-2.294,0.568,-0.767,0.095,-0.478,0.095,-1.255,0.383,-0.775,0.573,-0.096,0.191,-0.577,0.57,-0.096,0.664,-0.096,0.19,-0.669,1.039,0.19,-0.949,-5170,-5170,-0.38,97.732,-3.099,-4.373,-0.38,-4.274,0,-2.33,0.552,-1.028,-0.093,-2.095,0.378,-0.765,0.475,-0.576,0.285,-0.191,0.095,-0.384,0.286,-0.192,0.57,-0.096,0.474,-0.191,0.378,-0.381,0.848,-0.19,0.189,-0.858,2.59,-0.475,-0.666,-5170,-5170,-5170,-5170,0,0,0,0,0,0,0,0,0,0,0,1
